SCE_KERNEL_ERROR_EPERM,CE-30001-4,0x80020001,Operation not permitted
SCE_KERNEL_ERROR_ENOENT,CE-30002-5,0x80020002,No such file or directory
SCE_KERNEL_ERROR_ESRCH,CE-30003-6,0x80020003,No such process
SCE_KERNEL_ERROR_EINTR,CE-30004-7,0x80020004,Interrupted system call
SCE_KERNEL_ERROR_EIO,CE-30005-8,0x80020005,Input/output error
SCE_KERNEL_ERROR_ENXIO,CE-30006-9,0x80020006,Device not configured
SCE_KERNEL_ERROR_E2BIG,CE-30007-0,0x80020007,Argument list too long
SCE_KERNEL_ERROR_ENOEXEC,CE-30008-1,0x80020008,Exec format error
SCE_KERNEL_ERROR_EBADF,CE-30009-2,0x80020009,Bad file descriptor
SCE_KERNEL_ERROR_ECHILD,CE-30010-4,0x8002000A,No child processes
SCE_KERNEL_ERROR_EDEADLK,CE-30011-5,0x8002000B,Resource deadlock avoided
SCE_KERNEL_ERROR_ENOMEM,CE-30012-6,0x8002000C,Cannot allocate memory
SCE_KERNEL_ERROR_EACCES,CE-30013-7,0x8002000D,Permission denied
SCE_KERNEL_ERROR_EFAULT,CE-30014-8,0x8002000E,Bad address
SCE_KERNEL_ERROR_ENOTBLK,CE-30015-9,0x8002000F,Block device required
SCE_KERNEL_ERROR_EBUSY,CE-30016-0,0x80020010,Device busy
SCE_KERNEL_ERROR_EEXIST,CE-30017-1,0x80020011,File exists
SCE_KERNEL_ERROR_EXDEV,CE-30018-2,0x80020012,Cross-device link
SCE_KERNEL_ERROR_ENODEV,CE-30019-3,0x80020013,Operation not supported by device
SCE_KERNEL_ERROR_ENOTDIR,CE-30020-5,0x80020014,Not a directory
SCE_KERNEL_ERROR_EISDIR,CE-30021-6,0x80020015,Is a directory
SCE_KERNEL_ERROR_EINVAL,CE-30022-7,0x80020016,Invalid argument
SCE_KERNEL_ERROR_ENFILE,CE-30023-8,0x80020017,Too many open files in system
SCE_KERNEL_ERROR_EMFILE,CE-30024-9,0x80020018,Too many open files
SCE_KERNEL_ERROR_ENOTTY,CE-30025-0,0x80020019,Inappropriate ioctl for device
SCE_KERNEL_ERROR_ETXTBSY,CE-30026-1,0x8002001A,Text file busy
SCE_KERNEL_ERROR_EFBIG,CE-30027-2,0x8002001B,File too large
SCE_KERNEL_ERROR_ENOSPC,CE-30028-3,0x8002001C,No space left on device
SCE_KERNEL_ERROR_ESPIPE,CE-30029-4,0x8002001D,Illegal seek
SCE_KERNEL_ERROR_EROFS,CE-30030-6,0x8002001E,Read-only filesystem
SCE_KERNEL_ERROR_EMLINK,CE-30031-7,0x8002001F,Too many links
SCE_KERNEL_ERROR_EPIPE,CE-30032-8,0x80020020,Broken pipe
SCE_KERNEL_ERROR_EDOM,CE-30033-9,0x80020021,Numerical argument out of domain
SCE_KERNEL_ERROR_ERANGE,CE-30034-0,0x80020022,Result too large
SCE_KERNEL_ERROR_EAGAIN,CE-30035-1,0x80020023,Resource temporarily unavailable
SCE_KERNEL_ERROR_EWOULDBLOCK,CE-30035-1,0x80020023,Operation would block (SCE_KERNEL_ERROR_EAGAIN)
SCE_KERNEL_ERROR_EINPROGRESS,CE-30036-2,0x80020024,Operation now in progress
SCE_KERNEL_ERROR_EALREADY,CE-30037-3,0x80020025,Operation already in progress
SCE_KERNEL_ERROR_ENOTSOCK,CE-30038-4,0x80020026,Socket operation on non-socket
SCE_KERNEL_ERROR_EDESTADDRREQ,CE-30039-5,0x80020027,Destination address required
SCE_KERNEL_ERROR_EMSGSIZE,CE-30040-7,0x80020028,Message too long
