SCE_KERNEL_ERROR_EPERM,CE-30001-4,0x80020001,Operation not permitted
SCE_KERNEL_ERROR_ENOENT,CE-30002-5,0x80020002,"Console Error // No such file or directory // If this error was encountered while attempting to use a game stored on an external hard drive, format the external HDD and try installing the content again."
SCE_KERNEL_ERROR_ESRCH,CE-30003-6,0x80020003,Internal error // No such process // Turn off PS4 and restart the system.
SCE_KERNEL_ERROR_EINTR,CE-30004-7,0x80020004,Interrupted system call
SCE_KERNEL_ERROR_EIO,CE-30005-8,0x80020005,"Input/output error // Access to HDD or Blu-Ray failed // Step 1: Eject the disc from the PS4 system, and check that the disc is not dirty or damaged. Then retry. Step 2: Back up the data using a USB device or PS+ online storage. Then, delete the application by pressing the Options button and choosing ""Delete"" from the content area. Reload the data from the USB or online storage. Step 3: If the error occurs again, please visit our Contact page to contact SCEA for additional technical support."
SCE_KERNEL_ERROR_ENXIO,CE-30006-9,0x80020006,Device not configured
SCE_KERNEL_ERROR_E2BIG,CE-30007-0,0x80020007,Argument list too long
SCE_KERNEL_ERROR_ENOEXEC,CE-30008-1,0x80020008,Exec format error
SCE_KERNEL_ERROR_EBADF,CE-30009-2,0x80020009,Bad file descriptor
SCE_KERNEL_ERROR_ECHILD,CE-30010-4,0x8002000A,No child processes
SCE_KERNEL_ERROR_EDEADLK,CE-30011-5,0x8002000B,Resource deadlock avoided
SCE_KERNEL_ERROR_ENOMEM,CE-30012-6,0x8002000C,"Cannot allocate memory // Internal Error // Step 1: Update the PS4 system with the latest system software. Step 2: Clean disc to ensure the disc you're trying to play isn't dirty, scratched, or otherwise damaged. Step 3: Restart the PS4 system."
SCE_KERNEL_ERROR_EACCES,CE-30013-7,0x8002000D,Permission denied
SCE_KERNEL_ERROR_EFAULT,CE-30014-8,0x8002000E,Bad address
SCE_KERNEL_ERROR_ENOTBLK,CE-30015-9,0x8002000F,Block device required
SCE_KERNEL_ERROR_EBUSY,CE-30016-0,0x80020010,Device busy
SCE_KERNEL_ERROR_EEXIST,CE-30017-1,0x80020011,File exists
SCE_KERNEL_ERROR_EXDEV,CE-30018-2,0x80020012,Cross-device link
SCE_KERNEL_ERROR_ENODEV,CE-30019-3,0x80020013,Operation not supported by device
SCE_KERNEL_ERROR_ENOTDIR,CE-30020-5,0x80020014,Not a directory
SCE_KERNEL_ERROR_EISDIR,CE-30021-6,0x80020015,Is a directory
SCE_KERNEL_ERROR_EINVAL,CE-30022-7,0x80020016,Invalid argument
SCE_KERNEL_ERROR_ENFILE,CE-30023-8,0x80020017,Too many open files in system
SCE_KERNEL_ERROR_EMFILE,CE-30024-9,0x80020018,Too many open files
SCE_KERNEL_ERROR_ENOTTY,CE-30025-0,0x80020019,Inappropriate ioctl for device
SCE_KERNEL_ERROR_ETXTBSY,CE-30026-1,0x8002001A,Text file busy
SCE_KERNEL_ERROR_EFBIG,CE-30027-2,0x8002001B,File too large
SCE_KERNEL_ERROR_ENOSPC,CE-30028-3,0x8002001C,No space left on device
SCE_KERNEL_ERROR_ESPIPE,CE-30029-4,0x8002001D,Illegal seek
SCE_KERNEL_ERROR_EROFS,CE-30030-6,0x8002001E,Read-only filesystem
SCE_KERNEL_ERROR_EMLINK,CE-30031-7,0x8002001F,Too many links
SCE_KERNEL_ERROR_EPIPE,CE-30032-8,0x80020020,Broken pipe
SCE_KERNEL_ERROR_EDOM,CE-30033-9,0x80020021,Numerical argument out of domain
SCE_KERNEL_ERROR_ERANGE,CE-30034-0,0x80020022,Result too large
SCE_KERNEL_ERROR_EAGAIN,CE-30035-1,0x80020023,Resource temporarily unavailable
SCE_KERNEL_ERROR_EWOULDBLOCK,CE-30035-1,0x80020023,Operation would block (SCE_KERNEL_ERROR_EAGAIN)
SCE_KERNEL_ERROR_EINPROGRESS,CE-30036-2,0x80020024,Operation now in progress
SCE_KERNEL_ERROR_EALREADY,CE-30037-3,0x80020025,Operation already in progress
SCE_KERNEL_ERROR_ENOTSOCK,CE-30038-4,0x80020026,Socket operation on non-socket
SCE_KERNEL_ERROR_EDESTADDRREQ,CE-30039-5,0x80020027,Destination address required
SCE_KERNEL_ERROR_EMSGSIZE,CE-30040-7,0x80020028,Message too long
SCE_KERNEL_ERROR_EPROTOTYPE,CE-30041-8,0x80020029,Protocol wrong type for socket
SCE_KERNEL_ERROR_ENOPROTOOPT,CE-30042-9,0x8002002A,Protocol not available
SCE_KERNEL_ERROR_EPROTONOSUPPORT,CE-30043-0,0x8002002B,Protocol not supported
SCE_KERNEL_ERROR_ESOCKTNOSUPPORT,CE-30044-1,0x8002002C,Socket type not supported
SCE_KERNEL_ERROR_ENOTSUP,CE-30045-2,0x8002002D,Operation not supported
SCE_KERNEL_ERROR_EPFNOSUPPORT,CE-30046-3,0x8002002E,Protocol family not supported
SCE_KERNEL_ERROR_EAFNOSUPPORT,CE-30047-4,0x8002002F,Address family not supported by protocol family
SCE_KERNEL_ERROR_EADDRINUSE,CE-30048-5,0x80020030,Address already in use
